,title,price,location,living_space,plot_area,rooms,broker,link,coordinates,latitude,longitude
27,Linnaeuskade 4,2.600.000 k.k.,"Linnaeuskade 4, 1098 BC Amsterdam",333 m^2,221 m^2,7,Makelaarsgroep o.g. Commissaris,https://www.funda.nl/koop/amsterdam/huis-42646906-linnaeuskade-4/,"4-H, Linnaeuskade, Middenmeer, Oost, Amsterdam, Noord-Holland, Nederland, 1098BC, Nederland",52.3552531,4.9291907
28,IJburglaan 291,675.000 k.k.,"IJburglaan 291, 1086 ZJ Amsterdam",152 m^2,161 m^2,5,Hallie & Van Klooster Makelaardij,https://www.funda.nl/koop/amsterdam/huis-42646601-ijburglaan-291/,"291, IJburglaan, IJburg, Amsterdam, Noord-Holland, Nederland, 1086ZJ, Nederland",52.3632508,4.9831648
29,Vlimmerenstraat 3,575.000 k.k.,"Vlimmerenstraat 3, 1066 PV Amsterdam",117 m^2,91 m^2,5,Hoekstra en van Eck Amsterdam West,https://www.funda.nl/koop/amsterdam/huis-42645169-vlimmerenstraat-3/,"3, Vlimmerenstraat, Nieuw-Sloten, Sloten, Amsterdam, Noord-Holland, Nederland, 1066PV, Nederland",52.3491748,4.805808
30,Prinsengracht 32,1.458.000 k.k.,"Prinsengracht 32, 1015 DW Amsterdam",134 m^2,72 m^2,7,Makelaarsland,https://www.funda.nl/koop/amsterdam/huis-42633940-prinsengracht-32/,"32, Prinsengracht, Jordaan, Centrum, Amsterdam, Noord-Holland, Nederland, 1015DW, Nederland",52.3785549,4.8862276
31,Betuwestraat 14,2.000.000 k.k.,"Betuwestraat 14, 1079 PR Amsterdam",248 m^2,228 m^2,8,Beekman Makelaardij o.g. b.v.,https://www.funda.nl/koop/amsterdam/huis-42633859-betuwestraat-14/,"14, Betuwestraat, Scheldebuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1079PR, Nederland",52.3393716,4.8955619
32,Brusselsingel 25,500.000 k.k.,"Brusselsingel 25, 1066 JX Amsterdam",105 m^2,94 m^2,5,De Makelaers BV,https://www.funda.nl/koop/amsterdam/huis-42632558-brusselsingel-25/,"25, Brusselsingel, Nieuw-Sloten, Sloten, Amsterdam, Noord-Holland, Nederland, 1066JX, Nederland",52.3434851,4.8093898
33,Roffart 6,1.900.000 k.k.,"Roffart 6, 1083 CJ Amsterdam",248 m^2,438 m^2,6,Eefje Voogd Makelaardij,https://www.funda.nl/koop/amsterdam/huis-42631731-roffart-6/,"6, Roffart, Buitenveldert, Amsterdam, Noord-Holland, Nederland, 1083CJ, Nederland",52.3239544,4.8820323
34,Zandpad-Driemond 20,350.000 k.k.,"Zandpad-Driemond 20, 1109 AG Amsterdam",69 m^2,52 m^2,3,EKZ | Makelaars Uithoorn,https://www.funda.nl/koop/amsterdam/huis-42631402-zandpad-driemond-20/,"20, Zandpad-Driemond, Driemond, Amsterdam, Noord-Holland, Nederland, 1109AG, Nederland",52.3043255,5.0155312
35,Thomas Prinslaan 89,425.000 k.k.,"Thomas Prinslaan 89, 1035 SK Amsterdam",96 m^2,113 m^2,4,Hoekstra en van Eck Amsterdam Noord,https://www.funda.nl/koop/amsterdam/huis-42630381-thomas-prinslaan-89/,"89, Thomas Prinslaan, Kadoelen, Amsterdam, Noord-Holland, Nederland, 1035SK, Nederland",52.4208044,4.9009795
36,Geerdinkhof 377,675.000 k.k.,"Geerdinkhof 377, 1103 RD Amsterdam",146 m^2,220 m^2,5,Linger OG,https://www.funda.nl/koop/amsterdam/huis-88093621-geerdinkhof-377/,"377, Geerdinkhof, Nieuw Grunder, Amsterdam, Noord-Holland, Nederland, 1103RD, Nederland",52.3272943,4.9811385
